Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5
0,4.57276476498078,8.53758329103975,5.555660316691965,5.6661104046293005,5.994194251544995,6.162753932394507
1,4.40505290195506,4.116189201592126,4.784730365940596,6.447137754119543,5.889324201637544,4.999061427012292
2,5.665923591477158,3.5367994074823526,3.7528049631455533,4.8360214498361245,4.808620387235406,5.063288598180147
3,4.684506128580113,8.372882274311477,6.058764306123766,6.601227952411567,6.518073998817293,6.276622908254588
4,4.709569041264134,3.7957733246306082,2.8874653020232666,2.8061717324385507,2.5077977114576004,2.591645124605889
5,4.549946063920349,6.148157079215924,5.992708137756502,4.119649234171106,4.85423152138161,4.613111837099353
6,4.88185775416458,3.7899599216699533,3.849532451335046,4.470479402302006,5.071838995697981,4.963811512378108
7,5.918807396916785,3.7102801413886635,3.318757728870362,3.4753759316568336,3.6150670329903996,3.916993505409443
8,4.993150075714336,3.9302220389775653,2.9567742056854938,3.178915490381209,3.9465022434690527,4.2057004476993285
9,4.144566673783807,3.9867700523568104,5.024203503928021,4.237507008462935,4.14240894669517,3.7263454498097266
10,5.0839549261263866,8.540547728796833,7.295813608684757,6.466256080867709,4.94061147638009,5.068394837913283
11,4.567772387104141,5.372595545539519,6.576592663202387,5.960125863849438,5.5710100649045176,4.719161055689902
12,6.965784138375573,14.521546309912916,9.208576710961692,8.446381504574905,7.473067979013161,6.2878725640135595
13,4.414114306631782,4.491863219970853,4.931589420984835,5.440669325111397,5.792564120966575,6.413905948215456
14,4.309395578369221,5.523599527757797,6.787826908787574,6.762605147958928,5.310923315609516,4.7552457755557045
15,4.488989336318366,5.599587277873157,4.507895831225466,3.475599838109251,3.9648526049747304,4.446832115354797
16,5.663236282108558,4.673050092584366,3.0800882054518084,2.746266003888784,3.5749222639673914,3.110877333115114
17,4.389176575217015,4.463644816026312,2.9668449098427097,3.0216191808214603,3.199325273282262,3.4018984902021874
18,7.213232658084777,5.008564564332106,2.597495515580239,2.732968035138302,4.24782320962615,4.868340603420423
19,4.844654409192821,3.8010664043988527,3.1667476063831477,3.12614578528611,3.405001910728956,3.7491115887476694
20,4.251336258696153,4.021987502373171,3.0132022033361947,2.927023023462764,3.0405239804942337,3.1882280750872143
21,4.431257265994647,4.537876614952042,4.628251928129034,3.2296573804008952,3.077047980968867,3.163447823465548
22,4.6038596164473535,3.755953253446054,5.175107131050827,5.031325166288632,4.502390863324298,4.20953501231404
23,4.877008365597376,10.775358999451578,5.980915289922538,5.5869944512888505,5.362919153352365,5.566120125534824
24,5.89592908835048,4.094025564168752,2.898182451453943,2.665636803525502,2.9644754340232335,3.4598084629743644
25,5.1401794232626115,7.972139389483207,7.5085967928682384,6.707924260609122,7.143715588929284,6.182297108759835
26,4.411871117523546,4.053937267409228,3.1471665952012886,2.7272088129602756,3.0528969724100223,3.3403460990242335
27,3.5473787644573886,7.35224984375045,4.861887041055761,5.283894676806197,5.781912782780732,6.023592811293106
28,4.62336472564493,4.0347017304636115,3.8662291506203514,3.8926351199375127,4.439677385209463,3.9438485524071956
29,6.241594902608332,7.70639735721575,10.24887630421189,7.541954440138308,8.044501162689475,6.028644511525723
